CD14_primary_cells 	 ChIP-Seq_input 	 GSM1102807
CD14_primary_cells 	 DNase_hypersensitivity 	 GSM701541
CD14_primary_cells 	 DNase_hypersensitivity 	 GSM701503
CD14_primary_cells 	 H3K27ac 	 GSM1102782
CD14_primary_cells 	 H3K27me3 	 GSM1102785
CD14_primary_cells 	 H3K36me3 	 GSM1102788
CD14_primary_cells 	 H3K4me1 	 GSM1102793
CD14_primary_cells 	 H3K4me3 	 GSM1102797
CD14_primary_cells 	 H3K9me3 	 GSM1102801
CD15_primary_cells 	 ChIP-Seq_input 	 GSM772758
CD15_primary_cells 	 H3K27me3 	 GSM537703
CD15_primary_cells 	 H3K36me3 	 GSM772814
CD15_primary_cells 	 H3K4me1 	 GSM773038
CD15_primary_cells 	 H3K4me3 	 GSM537702
CD15_primary_cells 	 H3K9me3 	 GSM773035
CD19_primary_cells 	 ChIP-Seq_input 	 GSM1027304
CD19_primary_cells 	 ChIP-Seq_input 	 GSM772753
CD19_primary_cells 	 ChIP-Seq_input 	 GSM537620
CD19_primary_cells 	 DNase_hypersensitivity 	 GSM701493
CD19_primary_cells 	 DNase_hypersensitivity 	 GSM701492
CD19_primary_cells 	 DNase_hypersensitivity 	 GSM701507
CD19_primary_cells 	 H3K27ac 	 GSM1027287
CD19_primary_cells 	 H3K27me3 	 GSM1160194
CD19_primary_cells 	 H3K27me3 	 GSM537638
CD19_primary_cells 	 H3K27me3 	 GSM537634
CD19_primary_cells 	 H3K27me3 	 GSM1027290
CD19_primary_cells 	 H3K36me3 	 GSM1027293
CD19_primary_cells 	 H3K36me3 	 GSM537621
CD19_primary_cells 	 H3K36me3 	 GSM537630
CD19_primary_cells 	 H3K4me1 	 GSM916053
CD19_primary_cells 	 H3K4me1 	 GSM1027296
CD19_primary_cells 	 H3K4me3 	 GSM537632
CD19_primary_cells 	 H3K4me3 	 GSM537622
CD19_primary_cells 	 H3K4me3 	 GSM1027300
CD19_primary_cells 	 H3K9me3 	 GSM1058784
CD19_primary_cells 	 H3K9me3 	 GSM1160205
CD19_primary_cells 	 H3K9me3 	 GSM537654
CD19_primary_cells 	 H3K9me3 	 GSM537635
CD20_primary_cells 	 DNase_hypersensitivity 	 GSM701500
CD3_cord_blood_primary_cells 	 DNase_hypersensitivity 	 GSM701526
CD3_cord_blood_primary_cells 	 DNase_hypersensitivity 	 GSM701525
CD3_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM701488
CD3_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM774201
CD3_primary_cells 	 ChIP-Seq_input 	 GSM1112804
CD3_primary_cells 	 ChIP-Seq_input 	 GSM1058789
CD3_primary_cells 	 ChIP-Seq_input 	 GSM537619
CD3_primary_cells 	 DNase_hypersensitivity 	 GSM665837
CD3_primary_cells 	 DNase_hypersensitivity 	 GSM701516
CD3_primary_cells 	 Digital_genomic_footprinting 	 GSM1036259
CD3_primary_cells 	 H3K27ac 	 GSM1058764
CD3_primary_cells 	 H3K27me3 	 GSM537613
CD3_primary_cells 	 H3K27me3 	 GSM537631
CD3_primary_cells 	 H3K27me3 	 GSM1102787
CD3_primary_cells 	 H3K36me3 	 GSM1058774
CD3_primary_cells 	 H3K36me3 	 GSM537666
CD3_primary_cells 	 H3K36me3 	 GSM537612
CD3_primary_cells 	 H3K4me1 	 GSM537636
CD3_primary_cells 	 H3K4me1 	 GSM537646
CD3_primary_cells 	 H3K4me1 	 GSM1058778
CD3_primary_cells 	 H3K4me3 	 GSM1058782
CD3_primary_cells 	 H3K4me3 	 GSM537615
CD3_primary_cells 	 H3K4me3 	 GSM537633
CD3_primary_cells 	 H3K9me3 	 GSM537645
CD3_primary_cells 	 H3K9me3 	 GSM537637
CD3_primary_cells 	 H3K9me3 	 GSM1058783
CD34_cultured_cells 	 H3K27me3 	 GSM537656
CD34_cultured_cells 	 H3K36me3 	 GSM537655
CD34_cultured_cells 	 H3K4me1 	 GSM537628
CD34_cultured_cells 	 H3K4me3 	 GSM537629
CD34_cultured_cells 	 H3K9me3 	 GSM537653
CD34_mobilized_primary_cells 	 ChIP-Seq_input 	 GSM772950
CD34_mobilized_primary_cells 	 ChIP-Seq_input 	 GSM773045
CD34_mobilized_primary_cells 	 ChIP-Seq_input 	 GSM773044
CD34_mobilized_primary_cells 	 ChIP-Seq_input 	 GSM773048
CD34_mobilized_primary_cells 	 ChIP-Seq_input 	 GSM669961
CD34_mobilized_primary_cells 	 ChIP-Seq_input 	 GSM669929
CD34_mobilized_primary_cells 	 ChIP-Seq_input 	 GSM621689
CD34_mobilized_primary_cells 	 ChIP-Seq_input 	 GSM706847
CD34_mobilized_primary_cells 	 ChIP-Seq_input 	 GSM706846
CD34_mobilized_primary_cells 	 ChIP-Seq_input 	 GSM621414
CD34_mobilized_primary_cells 	 ChIP-Seq_input 	 GSM621456
CD34_mobilized_primary_cells 	 ChIP-Seq_input 	 GSM537662
