gsm	tissue	experiment	Stem16	Stem15	Stem6
GSM1010938	heart_left_ventricle	mRNA-Seq	-0.485835552215576	-0.168118581175804	-0.104767113924026
GSM1010940	small_intestine	mRNA-Seq	-0.502748429775238	-0.170828819274902	-0.100961424410343
GSM1010942	sigmoid_colon	mRNA-Seq	-0.491595149040222	-0.15526171028614	-0.0838117823004723
GSM1010944	thymus	mRNA-Seq	-0.49857223033905	-0.147961109876633	-0.071896106004715
GSM1010946	lung	mRNA-Seq	-0.487797141075134	-0.153079435229301	-0.0861992985010147
GSM1010948	ovary	mRNA-Seq	-0.47332775592804	-0.149190053343773	-0.0837782993912697
GSM1010950	adrenal_gland	mRNA-Seq	-0.47373178601265	-0.141058743000031	-0.0796157643198967
GSM1010952	heart_aorta	mRNA-Seq	-0.453968644142151	-0.164043828845024	-0.107326440513134
GSM1010956	esophagus	mRNA-Seq	-0.491908699274063	-0.157103270292282	-0.0872838571667671
GSM1010958	adipose	mRNA-Seq	-0.485862612724304	-0.167256847023964	-0.104575246572495
GSM1010960	gastric	mRNA-Seq	-0.477662175893784	-0.179334878921509	-0.123648837208748
GSM1010964	heart_left_ventricle	mRNA-Seq	-0.4436214864254	-0.127078488469124	-0.0677035599946976
GSM1010966	pancreas	mRNA-Seq	-0.488107353448868	-0.155908808112144	-0.0884367451071739
GSM1010968	psoas_muscle	mRNA-Seq	-0.462125062942505	-0.151300057768822	-0.0881567597389221
GSM1010970	heart_right_atrium	mRNA-Seq	-0.433529257774353	-0.107121996581554	-0.0473814234137535
GSM1010972	heart_right_ventricle	mRNA-Seq	-0.454069703817368	-0.143108293414116	-0.0860920175909996
GSM1010974	sigmoid_colon	mRNA-Seq	-0.467252969741821	-0.173296377062798	-0.107686936855316
GSM1010976	spleen	mRNA-Seq	-0.493374526500702	-0.171019271016121	-0.105408698320389
GSM1013119	H1_BMP4_derived_mesendoderm_cultured_cells	H2BK15ac	-0.123124904930592	0.300786793231964	0.374137699604034
GSM1013121	H1_derived_neuronal_progenitor_cultured_cells	H3K23ac	-0.568390548229218	-0.151198238134384	-0.0472750142216682
GSM1013122	gastric	H3K27ac	-0.552373051643372	-0.163855493068695	-0.0779522955417633
