gsm	tissue	type	cluster
GSM1010938	heart_left_ventricle	mRNA-Seq	13
GSM1010940	small_intestine	mRNA-Seq	13
GSM1010942	sigmoid_colon	mRNA-Seq	13
GSM1010944	thymus	mRNA-Seq	13
GSM1010946	lung	mRNA-Seq	13
GSM1010948	ovary	mRNA-Seq	13
GSM1010950	adrenal_gland	mRNA-Seq	13
GSM1010952	heart_aorta	mRNA-Seq	13
GSM1010956	esophagus	mRNA-Seq	13
GSM1010958	adipose	mRNA-Seq	13
GSM1010960	gastric	mRNA-Seq	13
GSM1010964	heart_left_ventricle	mRNA-Seq	13
GSM1010966	pancreas	mRNA-Seq	13
GSM1010968	psoas_muscle	mRNA-Seq	13
GSM1010970	heart_right_atrium	mRNA-Seq	13
GSM1010972	heart_right_ventricle	mRNA-Seq	13
GSM1010974	sigmoid_colon	mRNA-Seq	13
GSM1010976	spleen	mRNA-Seq	13
GSM1013119	H1_BMP4_derived_mesendoderm_cultured_cells	H2BK15ac	2
GSM1013121	H1_derived_neuronal_progenitor_cultured_cells	H3K23ac	5
GSM1013122	gastric	H3K27ac	13
GSM1013123	lung	H3K27ac	5
GSM1013124	heart_right_ventricle	H3K27ac	13
GSM1013125	thymus	H3K27ac	3
GSM1013126	adrenal_gland	H3K27ac	13
GSM1013127	esophagus	H3K27ac	13
GSM1013128	gastric	H3K27ac	5
GSM1013129	pancreas	H3K27ac	5
GSM1013130	psoas_muscle	H3K27ac	5
GSM1013131	small_intestine	H3K27ac	3
GSM1013132	spleen	H3K27ac	13
GSM1013133	bladder	H3K27ac	9
GSM1013141	H1_derived_neuronal_progenitor_cultured_cells	H3K36me3	5
GSM1013142	thymus	H3K36me3	3
GSM1013143	ovary	H3K36me3	3
GSM1013144	heart_right_atrium	H3K36me3	13
GSM1013145	heart_right_ventricle	H3K36me3	5
GSM1013146	H1_derived_neuronal_progenitor_cultured_cells	H3K4me1	3
GSM1013147	gastric	H3K4me1	13
GSM1013148	ovary	H3K4me1	3
GSM1013149	pancreas	H3K4me1	5
GSM1013150	heart_aorta	H3K4me1	3
GSM1013151	H1_derived_neuronal_progenitor_cultured_cells	H3K4me3	5
GSM1013158	H1_derived_neuronal_progenitor_cultured_cells	H3K9me3	3
GSM1013159	gastric	H3K9me3	5
GSM1013160	small_intestine	H3K9me3	7
GSM1013161	thymus	H3K9me3	9
GSM1013162	ovary	H3K9me3	2
GSM1013163	pancreas	H3K9me3	3
GSM1013164	gastric	ChIP-Seq_input	4
GSM1013165	lung	ChIP-Seq_input	9
GSM1013166	psoas_muscle	ChIP-Seq_input	11
GSM1013167	heart_right_ventricle	ChIP-Seq_input	9
GSM1013168	adrenal_gland	ChIP-Seq_input	2
GSM1013169	heart_aorta	ChIP-Seq_input	3
GSM1013170	gastric	ChIP-Seq_input	7
GSM1013171	ovary	ChIP-Seq_input	1
GSM1013172	pancreas	ChIP-Seq_input	1
GSM1013173	psoas_muscle	ChIP-Seq_input	5
GSM1013174	spleen	ChIP-Seq_input	1
GSM1024605	muscle_fetal	DNase_hypersensitivity	7
GSM1024606	stomach_fetal	DNase_hypersensitivity	2
GSM1024607	kidney_fetal	DNase_hypersensitivity	7
GSM1024608	kidney_fetal	DNase_hypersensitivity	7
GSM1024609	breast_vHMEC	Digital_genomic_footprinting	1
GSM1024610	penis_foreskin_melanocyte_primary_cells	Digital_genomic_footprinting	9
GSM1027287	CD19_primary_cells	H3K27ac	11
GSM1027288	CD56_primary_cells	H3K27ac	2
GSM1027289	thymus_fetal	H3K27ac	12
GSM1027290	CD19_primary_cells	H3K27me3	2
GSM1027291	CD56_primary_cells	H3K27me3	2
GSM1027292	thymus_fetal	H3K27me3	1
GSM1027293	CD19_primary_cells	H3K36me3	6
GSM1027294	CD56_primary_cells	H3K36me3	9
GSM1027295	thymus_fetal	H3K36me3	7
GSM1027296	CD19_primary_cells	H3K4me1	3
GSM1027297	CD56_primary_cells	H3K4me1	13
GSM1027298	thymus_fetal	H3K4me1	5
GSM1027299	thymus_fetal	H3K4me3	12
GSM1027300	CD19_primary_cells	H3K4me3	4
GSM1027301	CD56_primary_cells	H3K4me3	4
GSM1027303	thymus_fetal	H3K9me3	3
GSM1027304	CD19_primary_cells	ChIP-Seq_input	4
GSM1027305	CD56_primary_cells	ChIP-Seq_input	2
GSM1027306	ovary_fetal	DNase_hypersensitivity	6
GSM1027307	penis_foreskin_melanocyte_primary_cells	DNase_hypersensitivity	9
GSM1027308	spinal_cord_fetal	DNase_hypersensitivity	2
GSM1027309	muscle_fetal	DNase_hypersensitivity	7
GSM1027310	adrenal_gland_fetal	DNase_hypersensitivity	2
GSM1027311	adrenal_gland_fetal	DNase_hypersensitivity	11
GSM1027312	penis_foreskin_melanocyte_primary_cells	DNase_hypersensitivity	2
GSM1027313	thymus_fetal	DNase_hypersensitivity	2
GSM1027314	kidney_renal_cortex_fetal	DNase_hypersensitivity	6
GSM1027315	kidney_renal_pelvis_fetal	DNase_hypersensitivity	6
GSM1027316	kidney_renal_cortex_fetal	DNase_hypersensitivity	6
GSM1027317	kidney_renal_pelvis_fetal	DNase_hypersensitivity	6
GSM1027318	stomach_fetal	DNase_hypersensitivity	2
GSM1027319	testes_fetal	DNase_hypersensitivity	7
GSM1027320	gastric	DNase_hypersensitivity	9
GSM1027321	psoas_muscle	DNase_hypersensitivity	6
GSM1027322	heart	DNase_hypersensitivity	6
GSM1027323	kidney_renal_cortex_fetal	DNase_hypersensitivity	7
GSM1027324	kidney_renal_pelvis_fetal	DNase_hypersensitivity	7
GSM1027325	gastric	DNase_hypersensitivity	11
GSM1027326	pancreas	DNase_hypersensitivity	11
GSM1027327	small_intestine	DNase_hypersensitivity	9
GSM1027328	brain_fetal	DNase_hypersensitivity	7
GSM1027329	kidney_fetal	DNase_hypersensitivity	6
GSM1027330	muscle_fetal	DNase_hypersensitivity	6
GSM1027331	stomach_fetal	DNase_hypersensitivity	7
GSM1027332	placenta	DNase_hypersensitivity	6
GSM1027333	muscle_fetal	DNase_hypersensitivity	7
GSM1027334	ovary	DNase_hypersensitivity	7
