chr	start	end	GSM1027306	GSM1027310	GSM1027311	GSM1027320	GSM1027322	GSM1027325	GSM1027326	GSM1027328	GSM1027334	GSM1027335	GSM468792	GSM468801	GSM493384	GSM493386	GSM493387	GSM530651	GSM530652	GSM530653	GSM530654	GSM530657	GSM530658	GSM530659	GSM530660	GSM530661	GSM530663	GSM530664	GSM530665	GSM530666	GSM595913	GSM595914	GSM595917	GSM595918	GSM595919	GSM595920	GSM595922	GSM595923	GSM595926	GSM595928	GSM665800	GSM665801	GSM665802	GSM665803	GSM665804	GSM665811	GSM665812	GSM665813	GSM665814	GSM665817	GSM665819	GSM665820	GSM665824	GSM665830	GSM665831	GSM665836	GSM665837	GSM665838	GSM665839	GSM701488	GSM701489	GSM701491	GSM701492	GSM701493	GSM701499	GSM701500	GSM701503	GSM701507	GSM701508	GSM701516	GSM701525	GSM701526	GSM701539	GSM701540	GSM701541	GSM753973	GSM753974	GSM774201	GSM774203	GSM774208	GSM817160	GSM817165	GSM817166	GSM817167	GSM817198	GSM817215	GSM817220	GSM878612	GSM878613	GSM878614	GSM878615	GSM878616	GSM878621	GSM878628	GSM878630	GSM878650	GSM878651	GSM878652	GSM878658	GSM906379	GSM906380	GSM906381	Stem15	Stem16	Stem6
chr1	0	1000000	0.127434	0.082878	0.11301	0.137413	0.126881	0.115762	0.11411	0.113138	0.139998	0.136677	0.081773	0.087215	0.087699	0.097917	0.108206	0.058672	0.103072	0.09993	0.072646	0.091699	0.101747	0.09543	0.102044	0.078102	0.120471	0.106568	0.121593	0.105204	0.055666	0.096367	0.056227	0.062809	0.070903	0.047014	0.058675	0.063355	0.058499	0.046202	0.079679	0.081733	0.087528	0.067458	0.0725	0.082041	0.093891	0.132412	0.055725	0.086331	0.072261	0.101307	0.071242	0.082353	0.076782	0.063747	0.072032	0.089028	0.083576	0.162346	0.139597	0.100813	0.115758	0.11114	0.104267	0.087647	0.084407	0.125168	0.096809	0.136771	0.077027	0.08861	0.116763	0.108454	0.075607	0.07489	0.068055	0.077427	0.119946	0.094817	0.10769	0.086233	0.143984	0.079632	0.066474	0.080117	0.087576	0.126386	0.101078	0.11037	0.130125	0.135185	0.089456	0.087028	0.102119	0.113068	0.100554	0.092665	0.08254	0.139155	0.080571	0.101749	0.393747	0.009872	0.428429
chr1	1000000	2000000	0.431321	0.266632	0.352462	0.464112	0.408325	0.378966	0.356719	0.334943	0.494149	0.4578	0.249265	0.260729	0.256667	0.29144	0.310959	0.166726	0.311689	0.333283	0.205268	0.266368	0.297254	0.281707	0.297888	0.211245	0.362016	0.326088	0.370111	0.301254	0.167057	0.294149	0.153641	0.176476	0.209184	0.143866	0.159675	0.177198	0.170683	0.133949	0.260216	0.296914	0.314515	0.238831	0.216742	0.238944	0.316161	0.444997	0.148065	0.252649	0.215919	0.322156	0.182385	0.237314	0.210977	0.200632	0.2344	0.300963	0.276139	0.552748	0.4756	0.330272	0.375016	0.366827	0.333863	0.276444	0.265235	0.401174	0.323512	0.460122	0.251173	0.30158	0.402317	0.372337	0.231828	0.224474	0.207895	0.247646	0.375529	0.277288	0.345399	0.278612	0.474399	0.264705	0.210691	0.23661	0.240954	0.428844	0.342051	0.344439	0.401202	0.463556	0.303908	0.274189	0.275547	0.34237	0.303202	0.28233	0.255347	0.433647	0.224927	0.279309	0.491985	0.009047	0.515138
chr1	2000000	3000000	0.400664	0.257869	0.357703	0.468207	0.39329	0.375848	0.359094	0.422235	0.469603	0.469694	0.251582	0.267419	0.249559	0.284915	0.340346	0.212988	0.311871	0.31473	0.232469	0.259401	0.296351	0.28155	0.300074	0.236615	0.348428	0.339345	0.378016	0.308665	0.216288	0.316642	0.156175	0.172855	0.207423	0.180551	0.21968	0.242232	0.222778	0.179648	0.226706	0.257135	0.240795	0.186297	0.276495	0.271743	0.297623	0.424516	0.170066	0.280152	0.290943	0.289617	0.205706	0.264778	0.240903	0.200126	0.233076	0.295064	0.255145	0.54743	0.45253	0.319646	0.321626	0.319803	0.315678	0.276553	0.272677	0.357968	0.320307	0.439907	0.23988	0.29136	0.388667	0.363786	0.243239	0.204226	0.188132	0.265545	0.406644	0.293436	0.328583	0.279814	0.464305	0.274125	0.182763	0.198738	0.262362	0.396401	0.309402	0.348714	0.42336	0.441662	0.285954	0.264072	0.286034	0.397365	0.365312	0.325928	0.238208	0.463568	0.189728	0.228272	0.465704	0.00705	0.504758
chr1	3000000	4000000	0.3928	0.220278	0.322591	0.433232	0.368135	0.363367	0.324333	0.399476	0.425386	0.439484	0.218904	0.235958	0.216474	0.252	0.301535	0.202413	0.271643	0.273096	0.247879	0.226855	0.259667	0.238517	0.26455	0.246322	0.311126	0.309373	0.340806	0.272528	0.212371	0.28281	0.145964	0.158666	0.179406	0.179199	0.215093	0.231813	0.218075	0.183325	0.222304	0.247398	0.224992	0.185773	0.276976	0.28918	0.211944	0.322348	0.191693	0.291266	0.299934	0.232554	0.234929	0.287787	0.267502	0.13517	0.156582	0.197485	0.183243	0.441283	0.349422	0.24342	0.243264	0.240299	0.228605	0.248429	0.228209	0.27423	0.250598	0.316197	0.180384	0.223477	0.283675	0.2514	0.199454	0.171768	0.15877	0.231466	0.408258	0.253606	0.245959	0.24057	0.362943	0.239795	0.169079	0.187824	0.283525	0.390145	0.30107	0.319905	0.39267	0.411926	0.272185	0.239061	0.288411	0.367509	0.362559	0.3027	0.206378	0.447527	0.150795	0.184209	0.422652	0.006684	0.444597
chr1	4000000	5000000	0.253995	0.22133	0.362165	0.367126	0.264446	0.334796	0.290411	0.311796	0.314339	0.392282	0.219585	0.213883	0.133081	0.194361	0.299522	0.147225	0.198573	0.252248	0.118087	0.13697	0.169004	0.149031	0.18413	0.128664	0.245618	0.293399	0.334496	0.258936	0.187914	0.260414	0.13152	0.142489	0.119894	0.159833	0.245715	0.237517	0.181491	0.152266	0.155448	0.14301	0.132898	0.08767	0.272871	0.11779	0.187846	0.275061	0.075663	0.169234	0.242132	0.228496	0.112223	0.107226	0.108824	0.108919	0.140495	0.137317	0.156545	0.374313	0.276202	0.202703	0.202008	0.184286	0.199972	0.195724	0.190215	0.236452	0.255743	0.241598	0.158984	0.196125	0.179133	0.166918	0.180639	0.148558	0.138058	0.27476	0.186064	0.115952	0.195836	0.249184	0.253737	0.245335	0.187637	0.176847	0.114882	0.349608	0.267083	0.369133	0.348121	0.364352	0.251063	0.251996	0.142701	0.313477	0.257211	0.247882	0.246738	0.383255	0.140387	0.162618	0.444184	0.009208	0.493399
chr1	5000000	6000000	0.250508	0.232248	0.373216	0.367536	0.263849	0.344255	0.298156	0.307934	0.320757	0.40078	0.228582	0.224882	0.136704	0.199432	0.302598	0.148234	0.193038	0.266891	0.122692	0.144993	0.169226	0.148115	0.189217	0.12934	0.247935	0.296008	0.333378	0.259889	0.189741	0.26317	0.142513	0.153306	0.129164	0.158455	0.264232	0.255158	0.188775	0.152067	0.201732	0.204135	0.175692	0.155988	0.279303	0.115924	0.209043	0.333681	0.076968	0.174563	0.235998	0.266867	0.111021	0.113436	0.117608	0.111376	0.163913	0.15485	0.177869	0.406213	0.304228	0.231404	0.172656	0.164677	0.235266	0.201225	0.184817	0.204784	0.274181	0.301332	0.178765	0.185505	0.186549	0.18104	0.190143	0.150691	0.144897	0.275642	0.192445	0.120075	0.217566	0.261475	0.290078	0.257973	0.200035	0.195802	0.117355	0.364866	0.278426	0.378268	0.344541	0.372941	0.261355	0.259317	0.148561	0.317566	0.254071	0.24259	0.265527	0.382706	0.155767	0.178799	0.44584	0.00907	0.495111
chr1	6000000	7000000	0.40425	0.281579	0.407284	0.450784	0.40504	0.366317	0.332918	0.372199	0.469371	0.433412	0.272696	0.275213	0.226224	0.264454	0.329398	0.190934	0.270622	0.34647	0.220254	0.24374	0.268906	0.239745	0.280783	0.235538	0.334178	0.327794	0.401473	0.32369	0.209049	0.300548	0.177438	0.194897	0.204576	0.181183	0.233888	0.23704	0.217199	0.18055	0.279156	0.303393	0.306379	0.249979	0.298649	0.247186	0.281391	0.425325	0.175461	0.276287	0.266893	0.352052	0.227788	0.254013	0.25172	0.172448	0.220278	0.233956	0.250297	0.501634	0.413799	0.303182	0.282007	0.271667	0.297434	0.284627	0.235861	0.316909	0.318739	0.408478	0.22877	0.241878	0.305369	0.279774	0.233012	0.25143	0.241911	0.27051	0.36302	0.26534	0.309904	0.301038	0.411033	0.281271	0.22219	0.232034	0.257858	0.447418	0.354418	0.383218	0.403024	0.468629	0.321568	0.292994	0.279108	0.371726	0.331208	0.302971	0.300214	0.452924	0.230004	0.27849	0.467061	0.008555	0.501327
chr1	7000000	8000000	0.316668	0.260363	0.396846	0.398416	0.338932	0.353188	0.299626	0.333828	0.376584	0.396708	0.270949	0.259528	0.164246	0.223111	0.307751	0.161753	0.21156	0.316716	0.203104	0.189791	0.217574	0.182165	0.225402	0.225227	0.270463	0.305028	0.395204	0.314977	0.198054	0.270407	0.161574	0.177793	0.167702	0.17408	0.268992	0.262704	0.196569	0.162397	0.237399	0.248185	0.237801	0.20659	0.30234	0.230561	0.211259	0.317495	0.168003	0.260306	0.228354	0.272477	0.2349	0.234768	0.241829	0.125194	0.157096	0.15193	0.171852	0.380877	0.304276	0.226434	0.195079	0.186724	0.219728	0.234438	0.189011	0.234667	0.281519	0.277736	0.164326	0.185159	0.191616	0.184753	0.200919	0.186449	0.175358	0.26267	0.31751	0.181713	0.218218	0.25987	0.281592	0.261066	0.199971	0.204554	0.230376	0.393938	0.304929	0.365161	0.359387	0.402654	0.277257	0.257587	0.245431	0.34659	0.276866	0.257944	0.287056	0.408531	0.209458	0.25046	0.451137	0.008502	0.497026
chr1	8000000	9000000	0.341052	0.317461	0.447953	0.466813	0.427074	0.409231	0.3758	0.305305	0.533158	0.43196	0.302355	0.283507	0.199563	0.249687	0.304949	0.158911	0.231893	0.384463	0.233914	0.230235	0.253044	0.214453	0.260554	0.278618	0.297542	0.296068	0.408131	0.328358	0.188281	0.268613	0.222144	0.238439	0.223825	0.178099	0.246891	0.235563	0.193919	0.164876	0.249116	0.265419	0.291595	0.261387	0.303506	0.244399	0.271606	0.409685	0.243373	0.319951	0.294203	0.380322	0.333758	0.30024	0.31608	0.151298	0.226347	0.198785	0.258277	0.457717	0.390127	0.286132	0.278722	0.258609	0.307542	0.31756	0.191407	0.307794	0.325411	0.404091	0.233031	0.224789	0.222589	0.214813	0.221416	0.233097	0.232676	0.268832	0.365273	0.232109	0.289149	0.321913	0.369589	0.288082	0.272247	0.269664	0.30549	0.446874	0.347639	0.420657	0.352113	0.433902	0.293063	0.315228	0.324205	0.316762	0.278863	0.263328	0.380628	0.416096	0.31698	0.386712	0.462032	0.010137	0.50196
chr1	9000000	10000000	0.364977	0.259924	0.373903	0.459481	0.427135	0.376156	0.360198	0.330901	0.520448	0.447141	0.284432	0.276435	0.222959	0.266059	0.316706	0.15058	0.256558	0.321994	0.215528	0.242932	0.273512	0.238414	0.273853	0.237503	0.326576	0.319428	0.399207	0.326273	0.180703	0.293141	0.186865	0.210885	0.211489	0.157596	0.19967	0.203647	0.193181	0.15873	0.257168	0.280423	0.287481	0.234285	0.267016	0.249403	0.286575	0.411849	0.188087	0.274008	0.220262	0.360245	0.251817	0.266151	0.262003	0.165732	0.22398	0.24308	0.261717	0.493307	0.413772	0.292623	0.315835	0.302573	0.320438	0.28846	0.233717	0.346993	0.316531	0.404472	0.237604	0.262023	0.279092	0.263366	0.238913	0.243448	0.236167	0.265632	0.372891	0.249739	0.307732	0.274116	0.410823	0.260695	0.225323	0.236514	0.267038	0.422247	0.331209	0.389135	0.374152	0.449914	0.297029	0.301599	0.288244	0.320601	0.276084	0.264497	0.275424	0.429033	0.2635	0.32404	0.460724	0.009949	0.498245
